Category Name,Type of Query,Query title (max length: 64 chars),Query URL,Tip (something we'll expose in the UI when a user makes a particular request),Doc Link,AAD or MSA,Post template,Headers
Getting Started,GET,my profile,/v1.0/me/,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/resources/users,BOTH,,
Getting Started,GET,my photo,/v1.0/me/photo/$value,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/profilephoto_get,BOTH,,
Getting Started,GET,my mail,/v1.0/me/messages,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/user_list_messages,BOTH,,
Getting Started,GET,all the items in my drive,/v1.0/me/drive/root/children,,https://docs.microsoft.com/en-us/graph/api/driveitem-list-children?view=graph-rest-1.0,BOTH,,
Getting Started,GET,items trending around me,/beta/me/insights/trending,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/api/insights_list_trending,AAD,,
Getting Started,GET,my manager,/v1.0/me/manager,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/user_list_manager,AAD,,
Users,GET,my direct reports,/v1.0/me/directReports,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/user_list_directreports,AAD,,
Users,GET,all users in the organization,/v1.0/users,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/resources/users,AAD,,
Users,GET,all users in the Finance department,/v1.0/users?$filter=Department eq 'Finance',,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/resources/users,AAD,,
Users,GET,my skills,"/v1.0/me/?$select=displayName,skills",,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/resources/user,AAD,,
Users,GET,user by email,/v1.0/users/{user-mail},,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/resources/user,AAD,,
Users,GET,all my Planner tasks,/beta/me/planner/tasks,,https://developer.microsoft.com/en-us/graph/docs/api-reference/beta/resources/planner_overview,AAD,,
Users,POST,create user,/v1.0/users,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/user_post_users,AAD,"{
        ""accountEnabled"": true,
        ""city"": ""Seattle"",
        ""country"": ""United States"",
        ""department"": ""Sales & Marketing"",
        ""displayName"": ""Melissa Darrow"",
        ""givenName"": ""Melissa"",
        ""jobTitle"": ""Marketing Director"",
        ""mailNickname"": ""MelissaD"",
        ""passwordPolicies"": ""DisablePasswordExpiration"",
        ""passwordProfile"": {
            ""password"": ""Test1234"",
            ""forceChangePasswordNextSignIn"": false
        },
        ""officeLocation"": ""131/1105"",
        ""postalCode"": ""98052"",
        ""preferredLanguage"": ""en-US"",
        ""state"": ""WA"",
        ""streetAddress"": ""9256 Towne Center Dr., Suite 400"",
        ""surname"": ""Darrow"",
        ""mobilePhone"": ""+1 206 555 0110"",
        ""usageLocation"": ""US"",
        ""userPrincipalName"": ""MelissaD@{domain}""
    }",Content-type: application/json
Users,GET,track user changes,"/v1.0/users/delta?$select=displayName,givenName,surname",,https://developer.microsoft.com/en-us/graph/docs/concepts/delta_query_users,AAD,,
Groups,GET,all groups in my organization,/v1.0/groups,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/resources/group,AAD,,
Groups,GET,all groups I belong to,/v1.0/me/memberOf,,https://developer.microsoft.com/en-us/graph/docs/api-reference/v1.0/api/user_list_memberof,AAD,,
,,,,,,,,
